Kingdom	Phylum	Class	Order	Family	Genus
sq256	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	NA	NA
sq257	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB
sq258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
sq259	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
sq260	Bacteria	Planctomycetes	OM190	NA	NA	NA
sq261	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
sq262	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB
sq263	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NA
sq264	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Duganella
sq265	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
sq266	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
sq267	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
sq268	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter_1
sq269	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
sq270	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA
sq271	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	NA
